Store;Date;Weekly_Sales;Holiday_Flag;Temperature;Fuel_Price;CPI;Unemployment
1;05/02/2010;16436909;0;4231;2572;2110963582;8106
1;12/02/2010;164195744;1;3851;2548;2112421698;8106
1;19/02/2010;161196817;0;3993;2514;2112891429;8106
1;26/02/2010;140972759;0;4663;2561;2113196429;8106
1;05/03/2010;155480668;0;465;2625;2113501429;8106
1;12/03/2010;143954159;0;5779;2667;2113806429;8106
1;19/03/2010;147251579;0;5458;272;211215635;8106
1;26/03/2010;140442992;0;5145;2732;2110180424;8106
1;02/04/2010;159496828;0;6227;2719;2108204499;7808
1;09/04/2010;154541853;0;6586;277;2106228574;7808
1;16/04/2010;146605828;0;6632;2808;2104887;7808
1;23/04/2010;139125612;0;6484;2795;2104391228;7808
1;30/04/2010;142510071;0;6741;278;2103895456;7808
1;07/05/2010;160395512;0;7255;2835;2103399684;7808
1;14/05/2010;14942515;0;7478;2854;2103374261;7808
1;21/05/2010;139966207;0;7644;2826;2106170934;7808
1;28/05/2010;143206995;0;8044;2759;2108967606;7808
1;04/06/2010;161552471;0;8069;2705;2111764278;7808
1;11/06/2010;154256109;0;8043;2668;2114560951;7808
1;18/06/2010;150328406;0;8411;2637;2114537719;7808
1;25/06/2010;14227116;0;8434;2653;2113386526;7808
1;02/07/2010;149241814;0;8091;2669;2112235333;7787
1;09/07/2010;154607418;0;8048;2642;211108414;7787
1;16/07/2010;144893892;0;8315;2623;2111003854;7787
1;23/07/2010;13850652;0;8336;2608;2112351443;7787
1;30/07/2010;13719866;0;8184;264;2113699032;7787
1;06/08/2010;160549178;0;8716;2627;2115046621;7787
1;13/08/2010;150823776;0;87;2692;2116394211;7787
1;20/08/2010;151308049;0;8665;2664;2116033633;7787
1;27/08/2010;144914292;0;8522;2619;2115673056;7787
1;03/09/2010;154016353;0;8121;2577;2115312479;7787
1;10/09/2010;150746069;1;7869;2565;2114951902;7787
1;17/09/2010;143037867;0;8211;2582;2115224596;7787
1;24/09/2010;135179103;0;8094;2624;2115972246;7787
1;01/10/2010;14533295;0;7189;2603;2116719895;7838
1;08/10/2010;150823993;0;6393;2633;2117467544;7838
1;15/10/2010;14594091;0;6718;272;2118137436;7838
1;22/10/2010;1345454;0;6986;2725;2118612937;7838
1;29/10/2010;138420922;0;6964;2716;2119088438;7838
1;05/11/2010;155165928;0;5874;2689;2119563939;7838
1;12/11/2010;149447949;0;5961;2728;212003944;7838
1;19/11/2010;148378418;0;5141;2771;2118896737;7838
1;26/11/2010;195562411;1;6452;2735;2117484333;7838
1;03/12/2010;154803378;0;4927;2708;211607193;7838
1;10/12/2010;168261426;0;4633;2843;2114659526;7838
1;17/12/2010;189103493;0;4984;2869;2114053124;7838
1;24/12/2010;23879502;0;5233;2886;2114051222;7838
1;31/12/2010;136732001;1;4843;2943;2114049321;7838
1;07/01/2011;144473228;0;4827;2976;2114047419;7742
1;14/01/2011;139101396;0;354;2983;2114574109;7742
1;21/01/2011;132740542;0;4404;3016;2118272343;7742
1;28/01/2011;131689931;0;4383;301;2121970577;7742
1;04/02/2011;160662958;0;4227;2989;2125668812;7742
1;11/02/2011;164961493;1;3639;3022;2129367046;7742
1;18/02/2011;168684278;0;5736;3045;2132478853;7742
1;25/02/2011;145680028;0;629;3065;213535609;7742
1;04/03/2011;163626341;0;5958;3288;2138233327;7742
1;11/03/2011;155319163;0;5356;3459;2141110564;7742
1;18/03/2011;157681806;0;6276;3488;2143627114;7742
1;25/03/2011;154110238;0;6997;3473;2145999389;7742
1;01/04/2011;149506475;0;5917;3524;2148371664;7682
1;08/04/2011;161425935;0;6784;3622;2150743939;7682
1;15/04/2011;1559889;0;7127;3743;2152918561;7682
1;22/04/2011;156481981;0;7299;3807;2154599053;7682
1;29/04/2011;145509069;0;7203;381;2156279544;7682
1;06/05/2011;162939128;0;6461;3906;2157960035;7682
1;13/05/2011;160477558;0;7564;3899;2159640526;7682
1;20/05/2011;142821827;0;6763;3907;2157339202;7682
1;27/05/2011;146604667;0;7772;3786;2155037878;7682
1;03/06/2011;163507841;0;83;3699;2152736553;7682
